Team,TeamName,OBP,SLG,OPS,wRC+
,Toronto Blue Jays,0.333,0.427,0.76,106
,Philadelphia Phillies,0.328,0.431,0.759,106
,Milwaukee Brewers,0.332,0.403,0.735,102
,Boston Red Sox,0.324,0.421,0.745,104
,Athletics,0.318,0.431,0.749,104
,Los Angeles Dodgers,0.327,0.441,0.768,107
,San Diego Padres,0.321,0.39,0.711,99
,Arizona Diamondbacks,0.325,0.433,0.758,105
,Tampa Bay Rays,0.313,0.401,0.714,99
,New York Yankees,0.332,0.455,0.787,110
,Miami Marlins,0.314,0.393,0.707,98
,Houston Astros,0.315,0.399,0.714,99
,Chicago Cubs,0.32,0.43,0.75,104
,New York Mets,0.326,0.427,0.753,105
,Kansas City Royals,0.309,0.397,0.706,98
,Detroit Tigers,0.316,0.413,0.729,101
,St. Louis Cardinals,0.314,0.379,0.693,96
,Atlanta Braves,0.32,0.399,0.719,100
,Cincinnati Reds,0.315,0.391,0.706,98
,Seattle Mariners,0.32,0.42,0.74,103
,Washington Nationals,0.304,0.389,0.693,96
,Minnesota Twins,0.31,0.397,0.707,98
,Colorado Rockies,0.293,0.386,0.679,95
,Baltimore Orioles,0.305,0.394,0.699,97
,San Francisco Giants,0.311,0.386,0.697,97
,Texas Rangers,0.302,0.381,0.683,95
,Chicago White Sox,0.302,0.373,0.675,94
,Pittsburgh Pirates,0.305,0.35,0.655,91
,Cleveland Guardians,0.296,0.373,0.669,93
,Los Angeles Angels,0.298,0.397,0.695,97
